variant,baseline_min_index,baseline_at_cents,nearest_shift_cents
no-weight,0,1902.000,12.000
no-weight,1,2190.000,0.000
no-weight,2,1488.000,426.000
no-weight,3,1206.000,708.000
no-weight,4,0.000,1914.000
no-weight,5,1598.000,316.000
no-weight,6,1666.000,248.000
no-weight,7,1692.000,222.000
no-mask,0,1902.000,0.000
no-mask,1,2190.000,0.000
no-mask,2,1488.000,0.000
no-mask,3,1206.000,0.000
no-mask,4,0.000,0.000
no-mask,5,1598.000,0.000
no-mask,6,1666.000,0.000
no-mask,7,1692.000,0.000
no-erb,0,1902.000,26.000
no-erb,1,2190.000,96.000
no-erb,2,1488.000,158.000
no-erb,3,1206.000,440.000
no-erb,4,0.000,580.000
no-erb,5,1598.000,48.000
no-erb,6,1666.000,20.000
no-erb,7,1692.000,46.000
